,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Restaurant_Count,Restaurant_Distance,Shopping_Count,Shopping_Distance,Park_Count,Park_Distance,price_category,Year
125,4389200955,20150302T000000,1450000.0,4,2.75,2750,17789,1.5,0,0,3,8,1980.0,770,1914,1992,98004,47.6141,-122.212,3060,11275,4,0.7674988599462672,8,0.35101881927619233,1,0.6078004649649231,4,2015
421,6073200075,20140730T000000,625000.0,3,1.75,1600,9135,1.0,0,0,5,7,1600.0,0,1955,0,98006,47.5724,-122.179,1580,9800,1,0.6786505103283063,2,0.4880741452610031,0,3.9352422835105267,3,2014
525,4348800030,20141121T000000,727500.0,2,2.0,1240,9119,1.0,0,0,4,7,1240.0,0,1952,0,98004,47.6221,-122.193,1380,9121,4,0.7017620157229643,15,0.2403583582948722,0,1.3405656300219209,4,2014
564,5307100060,20141216T000000,638700.0,3,1.75,2080,9162,1.0,0,0,3,7,1370.0,710,1960,0,98005,47.5846,-122.168,1870,8944,1,0.9262964554895411,3,0.5108629808614582,0,2.6308206305939708,3,2014
659,708000030,20140902T000000,888000.0,3,1.5,1250,8710,1.0,0,0,4,7,1250.0,0,1953,0,98004,47.6245,-122.198,1750,9185,3,0.7110679888769985,13,0.41970136204326036,0,1.392897739469065,4,2014
766,8146100270,20150324T000000,824000.0,4,2.25,2490,9864,1.0,0,0,4,8,1290.0,1200,1961,0,98004,47.6051,-122.195,2360,9864,1,0.817167494478651,8,0.4085332435567002,1,1.087894339118595,4,2015
784,686500030,20141202T000000,650000.0,6,2.75,3610,10003,1.5,0,0,4,8,3610.0,0,1966,0,98008,47.6261,-122.125,2560,10004,1,0.8844377396006663,2,0.8460355783139943,0,2.4557844896370216,4,2014
925,2465400036,20141203T000000,990000.0,4,2.5,2780,10480,1.0,0,3,3,7,1390.0,1390,1967,0,98033,47.6597,-122.204,2860,10506,1,0.3953524990079902,1,0.8909404226744086,0,1.557885663369753,4,2014
947,2925059135,20150408T000000,1321500.0,3,3.0,2230,12968,2.0,0,0,3,9,2230.0,0,1990,0,98004,47.6271,-122.197,2260,10160,2,1.0097081358510516,5,0.7107095342948907,0,1.6906766555886985,4,2015
969,7555210340,20140825T000000,752500.0,4,2.25,2360,8616,2.0,0,0,4,8,2360.0,0,1974,0,98033,47.6495,-122.198,2360,9337,1,1.0618414468272974,2,0.7597584943354934,1,1.199743330994278,4,2014
990,4100000140,20141013T000000,640000.0,4,1.75,2060,9828,1.0,0,0,4,8,2060.0,0,1960,0,98005,47.5867,-122.174,2260,9996,1,1.0811119851561788,1,1.0013593123258873,0,2.339140417874795,3,2014
1101,2197600451,20141105T000000,631000.0,5,2.0,2270,2400,2.0,0,0,3,7,2270.0,0,1905,0,98122,47.6051,-122.319,1320,2400,10,0.6792291077417686,1,0.9876651515081825,2,1.007586505878737,3,2014
1174,3250500140,20141008T000000,850000.0,3,1.75,1400,9900,1.0,0,0,3,7,1400.0,0,1951,0,98004,47.6272,-122.209,1810,10796,1,1.173281986537851,3,1.1078488744574273,0,1.6542696059685977,4,2014
1272,4389200765,20140625T000000,2300000.0,4,3.25,4250,8570,2.0,0,0,3,9,4250.0,0,2004,0,98004,47.6154,-122.21,2830,12821,4,0.5936809448341894,10,0.20674662340616448,1,0.5313227279521556,4,2014
1282,8964800445,20150209T000000,2260000.0,3,3.5,3110,14872,1.0,0,0,3,10,3110.0,0,2003,0,98004,47.6178,-122.209,3110,12433,4,0.5578117775164706,14,0.35950397241728377,1,0.6744023693896166,4,2015
1317,4037800140,20140814T000000,548000.0,4,2.0,2100,8880,1.0,0,0,4,7,2100.0,0,1958,0,98008,47.6115,-122.124,1280,9102,1,0.9984381101266129,1,0.9890953838955882,0,3.8477153335244876,3,2014
1438,9413600350,20140829T000000,907000.0,3,1.75,2170,12220,1.0,0,0,5,8,2170.0,0,1965,0,98033,47.6537,-122.195,1980,9000,1,0.9705078778130216,1,0.482253864993031,1,0.8143644691226957,4,2014
1475,1562100030,20140910T000000,515000.0,4,1.75,1730,7980,1.0,0,0,4,8,1730.0,0,1965,0,98007,47.6219,-122.138,2080,8400,1,0.6137350756490217,3,0.6492571587596828,0,3.223712667190392,3,2014
1533,4395600060,20140630T000000,935000.0,2,2.5,1780,2067,2.0,0,0,5,9,1780.0,0,1974,0,98004,47.6132,-122.21,2320,2067,4,0.6628496263625088,8,0.25908244110728224,1,0.44087970547397276,4,2014
1584,8964800370,20141022T000000,1375000.0,3,1.5,1850,10572,1.0,0,0,4,8,1850.0,0,1953,0,98004,47.6194,-122.208,3030,12752,4,0.5735640758540487,14,0.4015817775712605,1,0.8001440613394316,4,2014
1778,9414100030,20150331T000000,975000.0,4,3.25,3330,17533,1.0,0,2,3,9,1750.0,1580,1969,0,98033,47.652,-122.2,3340,12798,1,0.7551973377159056,2,0.8470791271834122,0,1.2237558280422145,4,2015
1859,6918700320,20150306T000000,685000.0,5,2.5,1900,7843,2.0,0,0,5,7,1900.0,0,1966,0,98008,47.6273,-122.123,1900,7350,1,1.0765867791917318,2,1.0360334505531377,0,2.259247821620023,4,2015
1860,9560700055,20150310T000000,550000.0,5,2.5,2960,9877,1.0,0,0,4,7,1480.0,1480,1960,0,98005,47.5866,-122.171,1900,9877,1,1.0786805409555975,1,0.8268741896068108,0,2.371715430848501,3,2015
1896,9512000140,20140505T000000,755000.0,4,2.5,2120,10202,1.0,0,0,4,7,1620.0,500,1960,0,98005,47.5858,-122.17,1570,10762,1,1.0051002200899501,2,0.7107188812673881,0,2.471211297315324,4,2014
1954,1562200240,20140918T000000,550000.0,3,2.25,2160,15360,1.0,0,0,3,8,1410.0,750,1965,2000,98007,47.6232,-122.138,2180,8480,1,0.6960405935438436,3,0.7241662347005052,0,3.296836417032271,3,2014
2139,8146100370,20140904T000000,735000.0,4,1.75,2100,7960,1.0,0,0,3,8,1340.0,760,1955,0,98004,47.6079,-122.195,2060,7960,3,0.5105261170073357,19,0.4195650738881,1,0.8691003639026843,4,2014
2176,6344000060,20141015T000000,760000.0,4,1.75,2770,8521,1.0,0,0,4,7,1470.0,1300,1953,0,98004,47.6255,-122.199,1910,9380,3,0.8048940359915696,11,0.5385880068806181,0,1.4768338094333526,4,2014
2195,5566100060,20140718T000000,490000.0,3,1.75,1720,12540,1.0,0,0,4,7,1720.0,0,1956,0,98006,47.5699,-122.177,1440,11850,1,0.8430547759531452,2,0.4709183125326547,0,4.205986052998767,3,2014
2275,6918700370,20141027T000000,610000.0,4,2.25,1660,7350,1.0,0,0,3,8,1660.0,0,1965,2014,98008,47.6263,-122.124,1790,7455,1,0.9425106132329093,2,0.9020949834723831,0,2.3932463814742735,3,2014
2301,3298201290,20141224T000000,370000.0,3,1.0,940,7910,1.0,0,0,4,6,940.0,0,1959,0,98008,47.6181,-122.117,1000,7700,1,1.0460421986977866,1,0.9996391204453223,0,2.980803403583111,2,2014
2350,3298201170,20141110T000000,350000.0,3,1.0,940,7811,1.0,0,0,3,6,940.0,0,1959,0,98008,47.6195,-122.118,1180,7490,1,0.9645392634058301,1,0.9151270373788866,0,2.8567815017098557,2,2014
2449,4389200796,20140522T000000,1600000.0,3,2.5,3160,12824,1.0,0,2,4,9,1820.0,1340,1966,0,98004,47.6151,-122.216,3390,11985,2,1.0446113740072889,6,0.6445575187362623,1,0.9266797066794388,4,2014
2596,8056000075,20140521T000000,1065000.0,2,1.75,1890,9466,2.0,0,0,3,8,1890.0,0,1987,0,98004,47.6144,-122.211,2180,12825,4,0.6865563024616834,8,0.27135723194173844,1,0.546489247712047,4,2014
2732,4038600260,20140922T000000,699900.0,4,2.25,2380,16236,1.0,0,0,3,7,1540.0,840,1961,0,98008,47.6126,-122.12,2230,8925,1,1.095791943520345,1,1.071755766091522,0,3.631702660306685,4,2014
2740,1552100135,20140609T000000,1150000.0,3,2.5,2850,10474,1.0,0,0,4,8,1730.0,1120,1954,0,98004,47.6218,-122.209,2820,10474,3,0.7437774303884246,9,0.6529612847193701,1,1.0764402563314257,4,2014
2794,9808640320,20150102T000000,1289000.0,4,3.5,3100,2261,2.0,0,2,3,9,2250.0,850,1981,0,98033,47.6512,-122.202,2660,2000,1,0.7326306258245778,2,0.9687518755293932,0,1.3933389021120943,4,2015
3268,5603700025,20141007T000000,732000.0,4,1.75,2360,11300,1.0,0,0,4,9,2360.0,0,1974,0,98006,47.5728,-122.163,2290,11951,1,0.8868347512595585,4,0.7151267209735648,0,3.993691469692577,4,2014
3269,1266200015,20150127T000000,805500.0,3,1.0,1440,10330,1.0,0,0,4,7,1440.0,0,1952,0,98004,47.6245,-122.193,2080,10327,3,0.8872455914506183,12,0.48576310334071143,0,1.5579324571632014,4,2015
3281,8964800025,20150226T000000,1965000.0,5,3.75,3940,13738,1.5,0,3,4,9,3940.0,0,1951,0,98004,47.6203,-122.212,2370,13320,3,0.8880968733752082,8,0.7027134866466972,1,1.030448226662321,4,2015
3558,4040200490,20140820T000000,461000.0,3,1.75,1420,5170,1.0,0,0,4,7,1420.0,0,1963,0,98007,47.6151,-122.145,2250,7700,1,1.1535225217149947,2,0.7117374577284535,0,2.4298260397638023,3,2014
3748,4389201250,20140513T000000,2450000.0,5,4.0,4430,9000,2.0,0,0,3,10,4430.0,0,2013,0,98004,47.6168,-122.216,2470,9490,3,1.0456544090673514,7,0.6826179049222438,1,0.998010416841692,4,2014
3788,8562400025,20140916T000000,816000.0,3,1.5,1180,8545,1.0,0,0,3,8,1180.0,0,1952,0,98004,47.624,-122.2,1660,9000,3,0.6312464977498758,14,0.4005905597749682,0,1.2965371868205662,4,2014
3807,8146300025,20140813T000000,772000.0,4,2.5,2500,8680,1.0,0,0,4,7,1250.0,1250,1958,0,98004,47.6073,-122.192,2140,8680,1,0.6575756144455496,15,0.2172513846120912,2,1.0149357501950957,4,2014
3888,7963900100,20140912T000000,680000.0,3,2.5,2620,14248,2.0,0,0,4,8,1830.0,790,1977,0,98004,47.6281,-122.194,2620,12343,1,1.190628030160221,4,0.8667080654029442,0,1.8760110883530439,4,2014
4027,8964800930,20150317T000000,1350000.0,4,2.0,2240,10296,1.0,0,0,5,8,2240.0,0,1948,0,98004,47.6177,-122.217,2500,10918,1,1.133634318746223,5,0.7897506567431345,1,1.1118498237342398,4,2015
4331,4037800015,20150123T000000,480000.0,5,2.0,2590,8610,1.0,0,0,4,7,1340.0,1250,1958,0,98008,47.6112,-122.126,1750,8610,1,0.9609200119579581,1,0.95948847816063,0,3.731377430809911,3,2015
4358,4151800375,20141204T000000,660000.0,2,1.0,960,6263,1.0,0,1,4,6,960.0,0,1942,0,98033,47.6646,-122.202,1460,6054,1,0.9454384300459611,1,1.0478255221304518,0,1.6907460966066465,4,2014
4526,4389201064,20140703T000000,810000.0,3,1.5,1520,9041,1.0,0,0,4,7,1520.0,0,1954,0,98004,47.6158,-122.213,3260,10020,3,0.8160383854446693,8,0.43453132010205014,1,0.747202385585781,4,2014
4595,4040800090,20140506T000000,390000.0,3,1.75,1260,6500,1.0,0,0,4,7,1260.0,0,1966,0,98008,47.6224,-122.116,1500,7700,1,1.1693974856635958,1,1.1175699259132916,0,2.5029286537866584,2,2014
4613,7555210100,20141117T000000,880000.0,4,2.75,2560,7961,1.0,0,2,4,8,1450.0,1110,1975,0,98033,47.6499,-122.199,2500,9009,1,0.980079700371775,2,0.7997222427098326,0,1.2428135604229784,4,2014
4627,3225059223,20140519T000000,1405000.0,4,3.5,3410,10769,2.0,0,0,3,10,3410.0,0,2008,0,98004,47.6081,-122.198,2650,10058,4,0.48916451193468685,18,0.348448535301862,1,0.6881876381459732,4,2014
4629,4151800195,20150330T000000,650000.0,3,1.0,1410,4840,1.0,0,2,4,6,1230.0,180,1942,0,98033,47.6646,-122.204,1410,5400,1,0.895471621752715,1,1.15493285348267,0,1.8103443526041176,4,2015
4675,2432000110,20140507T000000,758000.0,4,2.75,2410,9549,1.0,0,0,4,7,1780.0,630,1956,0,98033,47.6503,-122.197,2090,9549,1,1.0479873661879997,2,0.8588157487929245,1,1.0900402906471087,4,2014
4736,4040800600,20140609T000000,502000.0,3,1.75,1300,8800,1.0,0,0,4,8,1300.0,0,1963,0,98008,47.6199,-122.116,1350,8800,1,1.1165908868767906,1,1.0666306117974445,0,2.767456402004584,3,2014
4765,4151800470,20140820T000000,675000.0,3,2.0,1010,5973,1.0,0,0,5,6,1010.0,0,1942,0,98033,47.6652,-122.202,1920,6015,1,1.0068286203829442,1,1.097669056908264,0,1.7330760323635341,4,2014
4813,4101410050,20150421T000000,675000.0,4,1.75,1900,8800,1.0,0,0,3,8,1140.0,760,1975,0,98033,47.6579,-122.197,2280,8800,1,0.7658920662416738,1,0.33904246807679433,1,0.9971802634527328,4,2015
4968,6918700130,20140811T000000,749000.0,3,2.5,3380,7126,2.0,0,0,3,8,3380.0,0,1965,2003,98008,47.6276,-122.122,1810,7308,1,1.146381987495954,2,1.1045554927155739,0,2.188471562072052,4,2014
5026,6205500280,20150421T000000,576000.0,3,1.75,1500,13891,1.0,0,0,4,7,1500.0,0,1951,0,98005,47.5866,-122.175,2020,13891,1,1.0776056315188864,1,1.0552375821038644,0,2.3478415503132775,3,2015
5040,1672000020,20141126T000000,711800.0,4,2.25,2410,16650,1.0,0,0,4,8,2410.0,0,1965,0,98006,47.5706,-122.163,2720,11141,1,1.0367007570947966,3,0.7585119111892271,0,4.231874629329163,4,2014
5099,1725059182,20140701T000000,1150000.0,4,2.5,3340,10422,2.0,0,0,3,10,3340.0,0,1996,0,98033,47.6515,-122.197,1770,9490,1,0.9604826624936788,2,0.7671395631806441,1,1.030837945462912,4,2014
5129,662350050,20140523T000000,950000.0,5,3.25,3400,7452,2.0,0,0,3,10,3400.0,0,1999,0,98007,47.6141,-122.136,2650,8749,1,0.6852128717806909,1,0.7274727724538084,0,3.045425521292032,4,2014
5198,4100000050,20141030T000000,813000.0,3,1.75,2080,11866,1.0,0,0,3,8,2080.0,0,1960,0,98005,47.5872,-122.173,2240,10696,1,1.134372742945124,1,0.9802863920177025,0,2.2885403603405505,4,2014
5234,2432000130,20150414T000000,675000.0,3,1.75,1660,9549,1.0,0,0,3,7,1660.0,0,1956,0,98033,47.6503,-122.198,2090,9549,1,0.9952682890738256,2,0.8482367206513847,1,1.1558077639797941,4,2015
5297,1562200380,20140916T000000,560000.0,4,1.75,1740,8800,1.0,0,0,4,8,1740.0,0,1965,0,98007,47.6232,-122.142,2180,8436,1,0.946131187300243,4,0.6505672449005823,0,3.045200046590215,3,2014
5368,7215900020,20141209T000000,1600000.0,4,3.5,4060,9486,2.0,0,0,3,10,4060.0,0,2005,0,98033,47.6634,-122.2,2410,9486,1,0.9042779596660608,1,0.848351881062814,0,1.490505926078361,4,2014
5454,9413600420,20140612T000000,890000.0,3,2.25,2060,8640,1.0,0,0,4,8,2060.0,0,1966,0,98033,47.6534,-122.195,2030,9000,1,0.9829371069728913,1,0.5131252531639606,1,0.8215345210928278,4,2014
5459,1672000170,20140908T000000,575000.0,3,1.75,1890,11141,1.0,0,0,4,8,1890.0,0,1968,0,98006,47.5697,-122.163,2720,11144,1,1.1077791249450872,2,0.7974908151969157,0,4.329520373486859,3,2014
5481,9413600670,20140623T000000,725000.0,3,1.75,1610,8613,1.0,0,0,5,7,1610.0,0,1962,0,98033,47.6527,-122.195,2010,8670,1,1.0156147326109628,2,0.5862191781022222,1,0.8431742294059246,4,2014
5488,9533600185,20150401T000000,985000.0,3,1.75,1700,8534,1.0,0,0,4,7,1700.0,0,1953,0,98004,47.6276,-122.205,2100,10443,1,1.0838668876231277,4,0.9370862731704949,0,1.6597981302474958,4,2015
5503,4151800420,20140815T000000,657500.0,3,1.75,980,6002,1.0,0,0,4,6,980.0,0,1942,0,98033,47.6643,-122.203,1150,6054,1,0.8863779482053818,1,1.0771095088437193,0,1.7301011459156685,4,2014
5546,1562000050,20150428T000000,650000.0,5,2.75,2580,7865,1.0,0,0,4,8,1480.0,1100,1964,0,98007,47.6208,-122.139,2140,8400,1,0.635547507885388,3,0.6784456317814672,0,3.0993009888061342,4,2015
5681,9413600380,20140801T000000,725000.0,4,1.75,2190,9400,1.0,0,0,4,7,1450.0,740,1962,0,98033,47.6531,-122.196,1980,9000,1,0.9287183726662022,2,0.5745384318453365,1,0.9022909580681853,4,2014
5859,4348800080,20140711T000000,641200.0,3,1.0,1060,9123,1.0,0,0,3,7,1060.0,0,1952,0,98004,47.6218,-122.193,1620,9121,4,0.6823805157981937,16,0.2133378212901422,0,1.314677387807312,3,2014
5936,2911700020,20140721T000000,1476000.0,3,2.25,4470,22518,2.0,0,2,3,9,3240.0,1230,1953,2004,98006,47.574,-122.18,2930,21837,1,0.6187460221837898,2,0.5740213631399399,0,3.7637179981527455,4,2014
5984,3298300420,20150331T000000,354000.0,3,1.0,990,7590,1.0,0,0,3,6,990.0,0,1959,0,98008,47.6228,-122.121,1100,7590,1,0.8407070255204206,1,0.7895906561006945,0,2.6081697434512012,2,2015
6041,1725059316,20141120T000000,2385000.0,4,4.0,6330,13296,2.0,0,2,3,13,4900.0,1430,2000,0,98033,47.6488,-122.201,2200,9196,1,1.002237815027388,2,0.6920207994214728,0,1.4329601142807822,4,2014
6073,2925059260,20150506T000000,800000.0,5,2.5,3000,10560,1.0,0,0,3,8,1500.0,1500,1966,0,98004,47.6249,-122.206,2690,11616,3,0.837999926677868,10,0.7723166158801767,0,1.3653195513044147,4,2015
6180,1266200130,20140615T000000,650000.0,3,1.75,2140,9484,1.0,0,0,3,7,1290.0,850,1953,0,98004,47.6234,-122.191,1960,9630,3,0.9086898875681235,11,0.4459294383569021,0,1.547306358577855,4,2014
6243,5536100010,20150204T000000,1050000.0,4,1.0,1330,9729,1.0,0,0,3,6,1330.0,0,1952,0,98004,47.6223,-122.208,2920,10353,3,0.7137344721064429,10,0.6623544705475766,1,1.10718699982632,4,2015
6355,4340000080,20150327T000000,1450000.0,4,3.5,2820,7809,2.0,0,0,3,10,2820.0,0,1995,0,98004,47.622,-122.195,2630,7904,4,0.5804610910061108,15,0.19009190373569074,0,1.2431580339702628,4,2015
6377,862000020,20150206T000000,800000.0,6,1.0,1430,20620,2.0,0,0,3,7,1430.0,0,1954,0,98004,47.6255,-122.209,2450,10080,3,1.0196102512758582,6,0.9955163980213769,0,1.4704064249901785,4,2015
6446,3298300130,20150206T000000,474905.0,4,1.5,1340,6200,1.0,0,0,5,6,1340.0,0,1959,0,98008,47.6214,-122.119,1210,7178,1,0.9221313814856543,1,0.8704044126524602,0,2.686645885788589,3,2015
